date;type;;;Holiday;Description
30/01/2024;Workday;;;;
31/01/2024;Workday;;;;
01/02/2024;Workday;;;;
02/02/2024;Workday;;;;
03/02/2024;Not a Workday;;;;
04/02/2024;Not a Workday;;;;
05/02/2024;Workday;;;;
06/02/2024;Workday;;;;
07/02/2024;Workday;;;;
08/02/2024;Workday;;;;
09/02/2024;Workday;;;;
10/02/2024;Not a Workday;;;;
11/02/2024;Not a Workday;;;;
12/02/2024;Workday;;;;
13/02/2024;Workday;;;;
14/02/2024;Workday;;;;
15/02/2024;Workday;;;;
16/02/2024;Workday;;;;
17/02/2024;Not a Workday;;;;
18/02/2024;Not a Workday;;;;
19/02/2024;Workday;;;;
20/02/2024;Workday;;;;
21/02/2024;Workday;;;;
22/02/2024;Workday;;;;
23/02/2024;Workday;;;;
24/02/2024;Not a Workday;;;;
25/02/2024;Not a Workday;;;;
26/02/2024;Workday;;;;
27/02/2024;Workday;;;;
28/02/2024;Workday;;;;
29/02/2024;Workday;;;;
01/03/2024;Workday;;;;
02/03/2024;Not a Workday;;;;
03/03/2024;Not a Workday;;;;
04/03/2024;Workday;;;;
05/03/2024;Workday;;;;
06/03/2024;Workday;;;;
07/03/2024;Workday;;;;
08/03/2024;Workday;;;;
09/03/2024;Not a Workday;;;;
10/03/2024;Not a Workday;;;;
11/03/2024;Workday;;;;
12/03/2024;Workday;;;;
13/03/2024;Workday;;;;
14/03/2024;Workday;;;;
15/03/2024;Workday;;;;
16/03/2024;Not a Workday;;;;
17/03/2024;Not a Workday;;;;
18/03/2024;Workday;;;;
19/03/2024;Workday;;;;
20/03/2024;Workday;;;;
21/03/2024;Workday;;;;
22/03/2024;Workday;;;;
23/03/2024;Not a Workday;;;;
24/03/2024;Not a Workday;;;;
25/03/2024;Workday;;;;
26/03/2024;Workday;;;;
27/03/2024;Workday;;;;
28/03/2024;Not a Workday;;;;
29/03/2024;Not a Workday;;;;
30/03/2024;Not a Workday;;;;
31/03/2024;Not a Workday;;;;
01/04/2024;Not a Workday;;;;
02/04/2024;Workday;;;;
03/04/2024;Workday;;;;
04/04/2024;Workday;;;;
05/04/2024;Workday;;;;
06/04/2024;Not a Workday;;;;
07/04/2024;Not a Workday;;;;
08/04/2024;Workday;;;;
09/04/2024;Workday;;;;
10/04/2024;Workday;;;;
11/04/2024;Workday;;;;
12/04/2024;Workday;;;;
13/04/2024;Not a Workday;;;;
14/04/2024;Not a Workday;;;;
15/04/2024;Workday;;;;
16/04/2024;Workday;;;;
17/04/2024;Workday;;;;
18/04/2024;Workday;;;;
19/04/2024;Workday;;;;
20/04/2024;Not a Workday;;;;
21/04/2024;Not a Workday;;;;
22/04/2024;Workday;;;;
23/04/2024;Workday;;;;
24/04/2024;Workday;;;;
25/04/2024;Workday;;;;
26/04/2024;Workday;;;;
27/04/2024;Not a Workday;;;;
28/04/2024;Not a Workday;;;;
